title,english_title,type,episodes,score,ranked,popularity,members,favorites,rating,status,aired,premiered,broadcast,producers,licensors,studios,source,demographic,duration,genre,theme,genres,themes,demographics,parent_story,prequel,side_story,other,sequel,alternative_setting,character,summary,alternative_version,spin_off,full_story,synopsis
Xi Yangyang Yu Hui Tailang: Xi yangyang You Shibo,Pleasant Goat and Big Big Wolf: Pleasant Goat Touring the Expo,ONA,20,0,13435,19578,156,0,PG - Children,Finished Airing,"Aug 1, 2010 to ?",-,-,,,,Original,Kids,5 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Xiha Chuang Shijie,Pleasant Goat and Big Big Wolf: Marching to the New Wonderland,TV,60,0,13436,20023,128,0,PG - Children,Finished Airing,"Jan 15, 2016 to ?",?,Unknown,,,,Unknown,Kids,13 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Yangyang Xiao Zhentan,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Yang Cun Shouhuzhe,Pleasant Goat and Big Big Wolf: Mighty Little Defenders,TV,60,0,13437,19810,140,0,PG - Children,Finished Airing,"Jan 18, 2019 to ?",?,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Kua Shikong Jiu Bing,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Yang Nian Xi Yangyang,Amazing Pleasant Goat,Movie,1,5.67,10162,17083,309,0,G - All Ages,Finished Airing,"Jan 31, 2015",-,-,Alpha Group Co. Ltd.,,,Unknown,Kids,1 hr. 26 min.,-,-,"Adventure,Comedy",-,-,-,-,-,-,-,-,-,-,-,-,-,"In Green Green Pastures, there exists a much loved legend about valiant dragon-slayers who lived in the Stone Age. Having grown up listening to stories about their awe-inspiring adventures, Pleasant Goat and Fatty Goat have always wanted to become dragon slayers themselves. While trying to make this dream come true, Fatty Goat inadvertently switches bodies with Big Big Wolf, and the two, along with Pleasant Goat, soon find themselves transported back to the Stone Age. When an evil dragon appears and threatens Stone Age Green Green Pastures, Fatty Goat, Big Big Wolf and Pleasant Goat must rise up to the dragon-slaying challenge. 

(Source: YesAsia)"
Xi Yangyang Yu Hui Tailang: Yangyang Deyi Xi Yangyang,-,ONA,365,0,13438,19663,151,0,PG - Children,Finished Airing,"Jul 15, 2015 to ?",-,-,,,,Unknown,Kids,5 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,-,-,-,-,-,-,-,The recap of Xi Yangyang Yu Hui Tailang series.
Xi Yangyang Yu Hui Tailang: Yangyang Kuaile De Yi Nian,Pleasant Goat and Big Big Wolf: Joys of Seasons,TV,100,0,13439,19336,169,0,PG - Children,Finished Airing,"May 1, 2010 to ?",?,Unknown,,,,Original,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tai Lang: Qi Si Miao Xiang Xi Yangyang,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Yangyang Xiao Xinyuan,Pleasant Goat and Big Big Wolf: Dear Little Wish,TV,60,0,13440,19895,135,0,PG - Children,Finished Airing,"Jul 30, 2014 to ?",?,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Yichu Da Maoxian,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Yangyang Xiao Zhentan,Pleasant Goat and Big Big Wolf: The Little Detective,TV,60,0,13441,19911,134,0,PG - Children,Finished Airing,"Jul 9, 2016 to ?",?,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Shenhai Lixian Ji,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Yangyang Yundonghui,Pleasant Goat Sports Game,TV,60,0,13442,18967,190,0,PG - Children,Finished Airing,"Oct 23, 2008 to ?",?,Unknown,,,,Original,Kids,15 min. per ep.,-,-,"Comedy,Sports",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Yangyang Kuaile De Yi Nian,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Yichu Da Maoxian,Pleasant Goat and Big Big Wolf: The Tailor's Closet,TV,60,0,13443,19912,134,0,PG - Children,Finished Airing,"Sep 4, 2014 to ?",?,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Mama Le Fengkuang,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Yiguo Da Yingjiu,Pleasant Goat and Big Big Wolf: Against the Dark Force,TV,60,0,13444,19029,187,0,PG - Children,Finished Airing,"Jul 17, 2020 to Jul 26, 2020",Summer 2020,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Kuang Chu Shengli,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Yuanshi Shijie Lixian Ji,Pleasant Goat and Big Big Wolf: Adventures in the Primitive World,TV,60,0,13445,20050,126,0,PG - Children,Finished Airing,"Aug 17, 2015 to ?",?,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Xiha Chuang Shijie,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi You Ji,Journey to the West: Legends of the Monkey King,TV,52,6.86,4597,12736,961,7,PG - Children,Finished Airing,"Jul 23, 1999 to Jan 15, 2000",Summer 1999,Unknown,CCTV Animation,,,Novel,-,22 min. per ep.,-,-,"Adventure,Fantasy",-,-,-,-,-,-,-,-,-,-,-,-,-,"Sun Wukong, who was born from a magic stone, has been imprisoned underneath a mountain for five centuries for his mischief in the heavens. One day, the Diety Guanyin told Wukong that the Monk Tangsen will set him free, and Wukong will join him on a pilgrimage from China to India. The next day, Xuanzang came and set him free, and the two started their Journey to the west. Along the way, they meet two new friends, Zhu Bajie and the Hermit Sha Wujing who joins them on the journey; together, they face many dangers and evil creatures and sorcerers and learn to get along.

(Source: Wikipedia) "
Xi You Ji: Qi Shi Er Bian,A Wiz named WuKong,Movie,1,0,13446,22503,53,0,G - All Ages,Finished Airing,"Dec 30, 2022",-,-,,,,Novel,Kids,1 hr. 30 min.,-,Martial Arts,"Action,Adventure,Fantasy",-,-,-,-,-,-,-,-,-,-,-,-,-,"In order to save Mount Huaguo, which has no rain all year round, Sun Wukong goes alone to the Three Stars Cave to learn the infinite changes of immortal arts from Bodhi the Elder. Meanwhile, the Dragon King of the East Sea is secretly developing a drug to take revenge on the Heavenly Court. This drug will allow him to control the consciousness of its victim and turns them into a ruthless killer. After Sun Wukong and his classmates discover the Dragon King's plot, they decide to work together to try and stop him.

(Source: TMDB)"
Xi Yue Hui,-,ONA,1,0,13447,22887,48,0,PG - Children,Finished Airing,"Nov 25, 2019",-,-,,,,Original,Kids,1 hr. 33 min.,Fantasy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xia Gu Zhong An Zu,-,ONA,12,0,13448,19177,178,0,PG-13 - Teens 13 or older,Finished Airing,"Jun 23, 2017 to Sep 8, 2017",-,-,,,,Unknown,-,8 min. per ep.,-,-,"Adventure,Fantasy",-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xia Lan,-,TV,156,5.89,9300,13647,730,2,PG-13 - Teens 13 or older,Finished Airing,"Jan 29, 2012 to Jul 15, 2016",Winter 2012,Sundays at Unknown,,,Rocen,Original,-,25 min. per ep.,-,-,"Action,Adventure,Drama,Fantasy,Supernatural","Historical,Martial Arts",-,-,-,-,-,-,-,-,-,-,-,-,"When Nian Chi was a young child, his elder sister was kidnapped in front of him, while he could do nothing but watch, a thing that has tormented him for all these years. Now 10 years later, he's dead set on going to rescue his sister, and sets out."
Xia Qiao Jie,-,TV,100,0,13449,23241,44,0,PG - Children,Finished Airing,2010 to ?,?,Unknown,,,,Unknown,Kids,12 min. per ep.,-,-,"Comedy,Fantasy",-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xia Xiao Dou,-,TV,52,0,13450,24203,37,0,PG - Children,Finished Airing,"Oct 8, 2015 to ?",?,Unknown,,,,Original,Kids,14 min. per ep.,Fantasy,Anthropomorphic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiagu Zhong An Zu 2nd Season,-,ONA,21,0,13451,22633,51,0,PG-13 - Teens 13 or older,Finished Airing,"Feb 16, 2018 to ?",-,-,,,,Game,-,10 min. per ep.,-,-,"Adventure,Fantasy",-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiamen Zhi Xia,Summer of Amoy,TV,5,0,13452,21231,74,0,G - All Ages,Finished Airing,2019,?,Unknown,,,,Unknown,-,6 min. per ep.,Slice of Life,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xian Bu Chuanqi,Legend of Bu,Movie,1,0,13453,23006,47,0,G - All Ages,Finished Airing,2014,-,-,,,,Original,-,1 hr. 23 min.,-,-,"Adventure,Fantasy",-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xian Feng Jianyu Lu,-,ONA,70,6.19,7917,11575,1423,3,None,Finished Airing,"Jul 11, 2020 to Mar 3, 2021",-,-,,,Ruo Hong Culture,Novel,-,8 min. per ep.,-,-,"Action,Fantasy,Supernatural",-,-,-,-,-,-,-,-,-,-,-,-,-,"The ancient Shenzhou Mainland, the ancient Chinese dynasty, and the demon kingdom of Tushan had been in conflict for thousands of years. Zhang Kuangyun from China and Bai Binglan, Princess Tianhu from Tushan, met each other because of a misunderstanding.

To explore the details of the enemy, Bai Binglan lurked to Zhang Kuangyun’s side and became her follower. While identity gaps, differences in ideas, and emotional growth, with step-by-step exploration, Zhang Kuangyun slowly discovered that his aunt and teacher’s family were slaughtered and killed in the mountains only incidents that were covered up. An unprecedented great conspiracy gradually emerged from the surface.

(Source: Narul Donghua)"
Xian Jian Qi Xia Zhuan: Huan Li Jing,The Legend of the Sword and Fairy,ONA,2,0,13454,14956,492,1,PG-13 - Teens 13 or older,Finished Airing,"Oct 2, 2019",-,-,,,,Game,-,49 min. per ep.,-,-,"Action,Fantasy,Romance",-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xian Mu,-,ONA,60,0,13455,13725,713,1,PG-13 - Teens 13 or older,Finished Airing,"Jul 20, 2022 to Jan 17, 2023",-,-,,,Soyep,Unknown,-,8 min. per ep.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"One hundred thousand years ago, the immortal world was in a melee, the gods fell, and a hidden mystery ""Book of Life and Death"" fell into the world. Young archaeologist Lu Yun accidentally broke into a burial chamber that could not be identified at all during a scientific expedition. So far, his peaceful life was broken, and he began a thrilling journey of searching for various mysteries. Lu Yun, who was dragged into the Immortal Realm by the Book of Heaven, was in charge of Xuanzhou City as Langxie Tian Xuanzhou Prefecture Shepherd. As soon as he arrived in the Immortal Realm, he encountered the first problem. Lu Yun's term of office was approaching, and the major families in Xuanzhou held the position of the prefectural shepherd. Eyeing tigers, in order to continue to serve, Lu Yun, who could not cultivate, sneaked into the Xuanchi Mountain tomb with his female envoy to find the Jiuqiao Jindan that could change his physique. In order to avoid the enemy's plot, Lu Yun and the female envoy sneaked into the depths of the tomb. The two were chased by the thousand-year-old corpse monster, swarms of corpse flies, and the strange Shi Ling queen accidentally hid in a woman's boudoir full of dark fragrance. With the power of the Book of Life and Death in his body, who knew that the woman on the portrait was Dan Xian Yuying of the last Xuanzhou prefectural shepherd, and the first messenger of reincarnation recorded in the Book of Heaven. With Danxian's recuperation, Lu Yun successfully changed his physique, and temporarily kept his identity through negotiation with Emperor Langxie, thinking that the matter would come to an end. Every night in his dreams, Lu Yun can always see some fragments that do not belong to his own memory. 

Once he entered Lu Yun's room, he saw the heavenly book in the sleeping Lu Yun's body vibrating wildly, accompanied by the strange scene of nine dragons carrying coffins around him. In order to solve the mystery of the Book of Heaven, Lu Yun went to Xuanshui City, which is adjacent to Xuanhe River, to find out the truth according to the book. The young child hid in the dark room, and the swaddled baby was put into a wooden box covered with thick cotton. To save the child, Lu Yun had to dive into Xuanhe to find out. The devastated Xuanhe Water Palace has long been occupied by the Gandalf monsters hidden in the darkness. Lu Yun and others have not yet escaped from the shocking monster group, and they are attacked by the demonized Xuanhe River God. In order to save their companion Qinghan, Using the Floating Life Map as a weapon, Lu Yun forced out the power of manipulating the Book of Life and Death in his body to conquer the River God, and obtained a new skill. So far, Lu Yun has conquered the fourth messenger of reincarnation, and each messenger of reincarnation represents It is the strongest in different aspects such as Talisman Dao, Martial Dao, Formation, and Refining. Lu Yun is approaching the truth of the scripture step by step, even if he is an enemy of heaven and earth, and the world is in the company of the world. At this time, the curse king sitting on the Jiuzhongtian looked at Lu Yun and smiled: ""Hmph, the ants who are beyond their own power...""

(Source: Tencent Video, translated)"
Xian Wang de Richang Shenghuo,The Daily Life of the Immortal King,ONA,15,7.33,2352,755,292757,"1,959",PG-13 - Teens 13 or older,Finished Airing,"Jan 18, 2020 to Mar 28, 2020",-,-,,bilibili,Haoliners Animation League,Light novel,-,19 min. per ep.,-,-,"Adventure,Comedy,Fantasy","Mythology,School",-,-,-,-,-,-,-,-,-,-,-,-,"Wang Ling is a high school student with a cool and carefree demeanor. Coming off as someone with a very low spiritual force, he actually possesses a power capable of destroying the world at a moment's notice. To mitigate the volatile force within him, his parents have resorted to using an amulet as a temporary solution. However, the amulet weakens over time and Wang Ling's emotions also accelerate its deterioration. Now with the amulet on the verge of breaking, Wang Ling and his father race against time in order to fix it.

[Written by MAL Rewrite]"
Xian Wang de Richang Shenghuo 2,The Daily Life of the Immortal King 2,ONA,12,7.4,2095,1634,125801,620,PG-13 - Teens 13 or older,Finished Airing,"Oct 30, 2021 to Jan 8, 2022",-,-,bilibili,,Pb Animation Co. Ltd.,Novel,-,19 min. per ep.,-,-,"Adventure,Comedy,Fantasy","Mythology,School",-,-,-,-,-,Xian Wang de Richang Shenghuo 3,-,-,-,-,-,-,"Wang Ling has been living a quiet life ever since resolving a particular incident, but thanks to his previous tampering with the laws of nature, the level of psionic powers in the world has dropped drastically. To stop the levels from plummeting further, his spirit sword Jingke comes to the rescue. But due to the excessive use of power, Jingke ends up ripping a crack in space. This crack allows demons to infiltrate the world and steal spiritual energy essential to powering human society. Now the only person who has the power to thwart their plans is none other than Wang Ling.

In an attempt to balance his high school life with his supernatural one, Wang Ling must confront challenges ranging from teacher home visits, crafting spiritual swords, grappling with his growing feelings for Sun Rong, and battling invading demons!

[Written by MAL Rewrite]"
Xian Wang de Richang Shenghuo 3,The Daily Life of the Immortal King 3,ONA,12,7.31,2495,2397,70589,249,PG-13 - Teens 13 or older,Finished Airing,"Sep 30, 2022 to Dec 11, 2022",-,-,bilibili,,Pb Animation Co. Ltd.,Novel,-,18 min. per ep.,-,School,"Adventure,Comedy,Fantasy",-,-,-,-,-,-,Xian Wang de Richang Shenghuo 4,-,-,-,-,-,-,Third season of Xian Wang de Richang Shenghuo.
Xian Wang de Richang Shenghuo 4,The Daily Life of the Immortal King 4,ONA,Unknown,0,0,5201,14294,47,PG-13 - Teens 13 or older,Not yet aired,Not available,-,-,"bilibili,Liyu Culture",,,Novel,-,Unknown,-,School,"Adventure,Comedy,Fantasy",-,-,-,-,-,-,-,-,-,-,-,-,-,Fourth season of Xian Wang de Richang Shenghuo.
Xian Wu Cangqiong,Martial God Stream,ONA,48,6.06,8566,13382,791,1,PG-13 - Teens 13 or older,Finished Airing,"Jul 3, 2022 to Nov 20, 2022",-,-,iQIYI,,Ruo Hong Culture,Original,-,7 min. per ep.,-,Martial Arts,"Action,Fantasy",-,-,-,-,-,-,-,-,-,-,-,-,-,"There are many dynasties in Yongxian Continent. In order to strengthen the body and prolong life, the people here have always maintained the tradition of Xianwu fellow practitioners. Once the practitioners reach the peak of martial arts, they will ask about Xiandao. The young Su Yu, who suffered a severe accident at a young age, changed his name and changed his surname, but he was still in a hurry, but he was unexpectedly reborn back to his youth. Foreseeing that the family is about to fall, in order to protect his family and relatives, Su Yu decided to work hard and practice the secret methods of Xianmen he learned in his previous life.

(Source: iqiyi.com)"
Xian Wu Chuan,Legend of Xianwu,ONA,26,0,13456,15671,418,2,PG-13 - Teens 13 or older,Currently Airing,"Mar 19, 2023 to ?",-,-,Xiaoming Taiji,,,Web novel,-,18 min. per ep.,-,-,"Action,Adventure,Fantasy","Historical,Martial Arts",-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xian Yu Ge,Salted Fish,ONA,16,0,13457,15044,483,4,G - All Ages,Finished Airing,"Jul 29, 2021 to Nov 4, 2021",-,-,,,,Original,-,18 min. per ep.,-,-,"Comedy,Fantasy",-,-,-,-,-,-,-,-,-,-,-,-,-,"Xian Yu Ge is a salted fish who boarded at his aunt's house and hangs around idly all day long. However, due to his unique style of doing things, he often encounters survival crisis, and is always working around the island. During this process, Xian Yu Ge gradually becomes acquainted with the strange residents of the island, and he slowly gains family affection and friendship with them. With the arrival of the annual Fish God Festival, the hilarious daily story of Xian Yu Ge unfolds.

(Source: bilibili, translated)"
Xian Yu Ge Specials,Salted Fish Specials,ONA,2,0,13458,20458,103,0,G - All Ages,Finished Airing,"Jan 27, 2022 to Feb 4, 2022",-,-,,,,Original,-,25 min. per ep.,-,-,"Comedy,Fantasy",-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xian Zun Naiba Dang Zhuixu,-,ONA,126,0,13459,19604,154,0,PG-13 - Teens 13 or older,Finished Airing,"Jun 25, 2020 to Nov 3, 2022",-,-,,,,Web novel,-,9 min. per ep.,-,-,"Action,Comedy,Fantasy",-,-,-,-,-,-,-,-,-,-,-,-,-,"An undefeated immortal from three realms go to Earth to meet the mother of his daughter who they conceived when the immortal wandered into the woman's dream.

(Source: MU)"
Xiang Bu Xiang?,-,Movie,1,0,13460,21851,63,0,PG - Children,Finished Airing,1978,-,-,,,Shanghai Animation Film Studio,Other,Kids,11 min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiang Hu,-,Movie,1,0,13461,22370,55,0,G - All Ages,Finished Airing,1986,-,-,,,,Original,Kids,18 min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiang Ling Ji,-,ONA,15,6.35,7157,10055,2412,14,PG-13 - Teens 13 or older,Finished Airing,"Mar 22, 2017 to Aug 16, 2017",-,-,Tencent Animation & Comics,,"Pb Animation Co. Ltd.,LAN Studio",Web manga,-,15 min. per ep.,-,Mythology,"Action,Fantasy",-,-,-,-,-,-,-,-,-,-,-,-,-,"The 19-year-old tomboy exorcist Hua Jiu got to know 'evil spirit' Seven Lord and forced him to be her spirit servant when cleansing spirits. Later the human being and the spirit set forth on a journey of ranting each other and cleansing spirits. However, Hua Jiu's enemy started insidious revenge at the same time... 

(Source: Donghua List)"
Xiang Qi Wang,Xiangqi Master,TV,26,5.84,9533,14204,605,3,PG - Children,Finished Airing,2006,?,Unknown,,,Hong Ying Animation,Original,-,24 min. per ep.,-,Strategy Game,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Features preteens involved in the competition and challenges in the world of Chinese chess.
"Xiang Qian Chong, Xiang Qian Chong",The Coins,Movie,1,0,13462,23242,44,0,PG - Children,Finished Airing,"Jul 25, 2008",-,-,,,,Original,Kids,1 hr. 40 min.,Fantasy,Anthropomorphic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiang Shi Chuanshuo,-,ONA,13,0,13463,19857,137,0,PG - Children,Finished Airing,"Mar 12, 2020 to ?",-,-,,,Borutong,Original,Kids,7 min. per ep.,Gourmet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiangchang Paidui,-,ONA,Unknown,0,13464,21694,66,0,G - All Ages,Currently Airing,"Mar 15, 2018 to ?",-,-,,,,Game,-,5 min.,Comedy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xianggu Teqin Dui: Gangtie Xingqiu de Mimi,-,TV,26,0,13465,24292,36,0,PG - Children,Finished Airing,Not available,?,Unknown,,,,Original,Kids,13 min. per ep.,-,Anthropomorphic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xianggu Teqin Dui: Guoshu Xiao Yingxiong,-,TV,42,0,13466,24293,36,0,PG - Children,Finished Airing,Not available,?,Unknown,,,,Original,Kids,13 min. per ep.,-,Anthropomorphic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xianggu Teqin Dui: Huluobo Ruqin,-,TV,42,0,13467,22755,50,0,PG - Children,Finished Airing,Jun 2010 to Nov 2010,Summer 2010,Unknown,,,,Original,Kids,13 min. per ep.,-,Anthropomorphic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xianggu Teqin Dui: Ni Xi Xianggu Zhen,-,TV,42,0,13468,24294,36,0,PG - Children,Finished Airing,2011 to ?,?,Unknown,,,,Original,Kids,13 min. per ep.,-,Anthropomorphic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xianggu Teqin Dui: Yingxiong Guilai,-,TV,42,0,13469,24204,37,0,PG - Children,Finished Airing,2012 to ?,?,Unknown,,,,Original,Kids,13 min. per ep.,-,Anthropomorphic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiangpi Ni Xiao Zhen,-,TV,365,0,13470,20197,117,0,PG - Children,Finished Airing,Oct 2009 to Dec 2010,Fall 2009,Unknown,,,,Original,Kids,10 min. per ep.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiangshu Canting,-,TV,26,0,13471,22756,50,0,PG - Children,Finished Airing,Apr 2011 to Oct 2011,Spring 2011,Unknown,,,,Original,Kids,10 min. per ep.,Fantasy,Anthropomorphic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiangtu Tongnian Hongqi Qu,-,TV,26,0,13472,24205,37,0,PG - Children,Finished Airing,Not available,?,Unknown,,,,Original,Kids,15 min. per ep.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiangyang Meng Wuyu,-,ONA,14,0,13473,23108,45,0,PG - Children,Finished Airing,"Jun 27, 2016 to Apr 14, 2017",-,-,,,,Original,Kids,5 min. per ep.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiangzhe Mingliang Na Fang,To the Bright Side,Movie,1,0,13474,21513,69,0,PG-13 - Teens 13 or older,Finished Airing,"Jan 15, 2022",-,-,,,,Picture book,-,1 hr. 23 min.,-,-,"Fantasy,Slice of Life",-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xianjing Chuanshuo RO: Shouhu Yongheng de Ai,-,ONA,1,5.74,9883,12868,919,0,G - All Ages,Finished Airing,"Dec 9, 2016",-,-,,,,Game,-,2 min.,-,-,"Action,Fantasy",-,-,-,-,-,-,-,-,-,-,-,-,-,"The official OP of the Ragnarök mobile game in China. The game itself launched January 19, 2017 for ioS. March 1, 2017 is the planned release on all platforms. This OP was animated in Japan and features a composition by dAice, Japanese lyrics by Yuki Kawamura, and sung by Chinese idol group ATF."
Xianzi Senlin Di Meili Mimi,-,TV,98,0,13475,24037,38,0,PG - Children,Finished Airing,2015 to ?,?,Unknown,,,,Original,Kids,5 min. per ep.,Fantasy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiao Ba Jie,-,Movie,1,0,13476,21748,66,0,PG - Children,Finished Airing,1983,-,-,,,Shanghai Animation Film Studio,Novel,Kids,19 min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiao Bai Ge,-,Movie,1,0,13477,22035,60,0,PG - Children,Finished Airing,1978,-,-,,,Shanghai Animation Film Studio,Original,Kids,19 min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiao Balu,-,Movie,1,0,13478,21852,63,0,G - All Ages,Finished Airing,1974,-,-,,,Shanghai Animation Film Studio,Unknown,Kids,47 min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiao Ban Long Ai Tanxian,-,ONA,10,0,13479,24295,36,0,PG - Children,Finished Airing,2018 to ?,-,-,,,,Original,Kids,12 min. per ep.,Fantasy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiao Ban Long Gushi,-,ONA,7,0,13480,24206,37,0,PG - Children,Finished Airing,Not available,-,-,,,,Original,Kids,11 min. per ep.,Fantasy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiao Ban Long Haiyang Baike,-,ONA,9,0,13481,24432,35,0,PG - Children,Finished Airing,2019 to ?,-,-,,,,Original,Kids,4 min. per ep.,Fantasy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiao Ban Long Hao Xiguan Peiyang,-,ONA,20,0,13482,24296,36,0,PG - Children,Finished Airing,Not available,-,-,,,,Original,Kids,3 min. per ep.,Fantasy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xiao Ban Long Huwai Anquan Ke,-,ONA,7,0,13483,24297,36,0,PG - Children,Finished Airing,Not available,-,-,,,,Original,Kids,7 min. per ep.,Fantasy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
